"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Adonai Mitchell","NYJ","41.5","610.8","3.5","2.2","11.2","0.1","0.5","83.0"
"Antonio Williams","WAS","44.2","598.5","3.6","3.5","18.7","0.1","1.2","81.4"
"Cooper Kupp","SEA","47.4","583.9","3.4","0.5","1.5","0.0","0.7","77.7"
"Denzel Boston","CLE","48.8","611.1","2.9","1.0","5.0","0.0","0.8","77.4"
"Omar Cooper Jr.","NYJ","46.3","550.4","3.3","2.1","12.5","0.1","1.2","74.1"
"Kayshon Boutte","NE","32.0","486.2","4.2","0.0","0.0","0.0","0.1","73.5"
"Germie Bernard","PIT","44.6","550.8","3.1","2.1","10.8","0.0","0.8","73.5"
"De'Zhaun Stribling","SF","37.6","525.2","3.1","1.5","6.5","0.0","0.7","70.2"
"Travis Hunter","JAC","41.6","496.2","3.3","2.0","10.8","0.1","0.4","70.0"
"Xavier Legette","CAR","41.7","500.5","3.2","2.1","10.8","0.1","0.4","69.9"
"Darnell Mooney","NYG","35.9","526.0","2.7","1.1","6.0","0.0","0.1","69.4"
"Bub Means","NO","38.0","516.0","3.0","1.0","6.0","0.0","1.0","68.2"
"Tyquan Thornton","KC","25.4","465.8","3.5","0.0","0.0","0.0","0.1","67.2"
"Ja'Kobi Lane","BAL","30.4","459.2","3.4","1.5","8.5","0.0","0.6","66.1"
"Darius Slayton","NYG","34.8","512.7","2.5","1.6","8.6","0.0","0.7","65.8"
"Tory Horton","SEA","30.3","401.0","4.2","0.5","3.0","0.0","0.6","64.1"
"Malik Washington","MIA","43.5","390.0","2.3","13.4","80.2","0.7","0.8","63.5"
"Zachariah Branch","ATL","38.3","471.3","2.3","0.0","0.0","0.0","0.4","60.3"
"Troy Franklin","DEN","36.5","395.9","3.4","3.0","10.8","0.0","0.6","60.1"
"Isaac TeSlaa","DET","25.4","351.9","4.1","0.0","0.0","0.0","0.1","59.6"
"Devaughn Vele","NO","35.1","422.8","2.8","0.0","0.0","0.0","0.1","59.1"
"Hollywood Brown","PHI","31.3","389.1","3.3","0.0","0.0","0.0","0.1","58.3"
"Andrei Iosivas","CIN","31.1","393.7","2.9","2.5","11.1","0.0","0.1","57.9"
"Ryan Flournoy","DAL","34.0","383.8","2.7","2.2","12.4","0.1","0.4","55.4"
"Tre' Harris","LAC","34.5","408.4","2.5","0.0","0.0","0.0","0.4","54.9"
"Caleb Douglas","MIA","33.1","418.9","2.3","1.0","5.5","0.0","0.7","54.7"
"Dyami Brown","WAS","29.6","392.1","2.7","0.0","0.0","0.0","0.3","54.6"
"Ashton Dulin","IND","24.1","399.9","1.6","5.1","46.2","0.1","0.1","54.3"
"Chris Bell","MIA","34.2","448.9","1.7","0.0","0.0","0.0","0.4","54.1"
"Jalen Tolbert","MIA","35.4","441.7","1.8","0.0","0.0","0.0","0.3","54.1"
"Ted Hurst III","TB","28.9","389.5","2.6","1.0","6.5","0.0","0.6","53.8"
"Treylon Burks","WAS","28.3","393.6","2.3","0.0","0.0","0.0","0.2","52.6"
"Elic Ayomanor","TEN","23.9","323.0","3.2","0.0","0.0","0.0","0.0","51.5"
"Chimere Dike","TEN","26.1","252.9","3.3","10.1","33.6","0.3","0.6","48.7"
"Jack Bech","LV","34.5","397.8","1.5","0.0","0.0","0.0","0.4","48.0"
"Jahan Dotson","ATL","28.7","358.2","1.9","0.0","0.0","0.0","0.2","46.5"
"Jaylin Noel","HOU","28.8","322.6","1.8","4.2","22.2","0.1","0.3","45.5"
"KaVontae Turpin","DAL","18.2","229.9","1.7","17.7","102.5","0.4","0.4","45.4"
"Christian Kirk","SF","28.6","323.0","2.1","0.0","0.0","0.0","0.0","45.1"
"Savion Williams","GB","23.9","271.5","2.0","9.0","47.0","0.3","0.3","45.1"
"Luke McCaffrey","WAS","20.7","289.4","2.6","0.0","0.0","0.0","0.1","44.3"
"Pat Bryant","DEN","28.4","319.6","2.1","0.0","0.0","0.0","0.3","44.0"
"Joshua Palmer","BUF","25.9","337.2","1.6","0.0","0.0","0.0","0.1","43.3"
