"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","48.9","14.8","11.6","18.3","2.8","1.0","322.0","5,064.6","120.5"
"Denver Broncos","","59.7","13.3","8.3","12.3","2.4","0.5","318.9","4,844.4","118.2"
"Pittsburgh Steelers","","46.0","13.3","12.8","18.8","2.4","0.0","347.4","5,453.1","112.8"
"Minnesota Vikings","","49.1","12.6","12.1","18.1","2.4","0.0","361.4","5,299.6","112.7"
"Seattle Seahawks","","46.3","13.6","8.4","13.6","3.2","0.5","314.0","5,123.7","110.7"
"Los Angeles Chargers","","48.6","15.3","8.3","12.6","2.0","0.0","366.6","5,471.5","107.7"
"Buffalo Bills","","42.8","14.9","9.6","13.2","2.5","0.5","393.3","5,737.4","107.6"
"Detroit Lions","","48.0","13.4","9.3","13.9","2.1","0.5","374.9","5,461.4","107.3"
"Los Angeles Rams","","46.3","13.4","9.5","14.5","2.3","0.5","347.2","5,242.0","107.1"
"Atlanta Falcons","","48.2","12.3","8.4","13.3","2.3","0.5","412.8","5,546.7","104.3"
"Chicago Bears","","39.9","14.0","10.9","16.6","2.1","0.0","385.5","5,918.1","102.4"
"Philadelphia Eagles","","42.2","13.0","10.0","14.4","2.4","0.0","323.2","5,264.5","102.3"
"Baltimore Ravens","","46.0","12.8","9.3","14.1","2.0","0.0","360.5","5,294.7","101.9"
"Cleveland Browns","","46.3","12.1","8.6","12.8","2.2","0.0","386.7","5,193.4","101.1"
"New Orleans Saints","","44.9","12.2","8.8","12.8","2.3","0.0","399.1","5,484.6","100.5"
"Cincinnati Bengals","","41.1","13.1","9.8","13.4","2.1","0.0","413.1","5,826.7","99.5"
"Jacksonville Jaguars","","37.0","13.9","9.2","13.6","2.6","0.0","387.4","5,491.6","99.0"
"New England Patriots","","40.7","11.6","8.9","12.5","2.6","0.5","356.6","5,268.5","98.1"
"Tampa Bay Buccaneers","","41.0","11.7","10.0","13.4","2.0","0.5","392.5","5,610.2","97.2"
"Tennessee Titans","","44.8","10.0","8.5","13.0","2.1","0.5","463.6","5,958.3","95.4"
"Green Bay Packers","","40.4","11.9","9.7","13.5","1.9","0.0","366.9","5,515.1","95.3"
"Washington Commanders","","43.7","9.7","8.9","13.5","2.0","0.5","439.2","6,140.2","94.3"
"Indianapolis Colts","","39.4","12.9","8.7","12.3","1.9","0.0","394.4","5,522.0","94.3"
"Kansas City Chiefs","","42.0","11.7","8.0","12.3","1.9","0.0","349.6","5,400.8","92.6"
"New York Giants","","40.6","10.8","8.8","12.9","2.0","0.0","418.6","6,062.3","91.9"
"Miami Dolphins","","42.4","10.1","9.1","13.8","1.6","0.0","451.1","6,090.0","90.7"
"Dallas Cowboys","","41.6","10.4","8.5","13.3","1.9","0.0","443.0","6,093.0","90.6"
"Arizona Cardinals","","35.8","11.8","9.3","14.0","1.9","0.5","466.5","6,155.7","90.3"
"Las Vegas Raiders","","40.8","10.2","8.4","14.0","1.8","0.5","437.2","5,738.7","90.0"
"San Francisco 49ers","","35.9","11.1","9.3","15.3","1.9","0.0","395.3","5,646.6","88.0"
"Carolina Panthers","","38.2","11.6","7.1","10.6","1.8","0.0","404.1","5,813.3","86.3"
"New York Jets","","37.4","10.0","8.0","12.2","1.9","0.5","433.1","5,667.3","86.0"
""
""
