QUARTERBACK PPR PROJECTIONS,,,,,,RUNNING BACK PPR PROJECTIONS,,,,,,WIDE RECEIVER PPR PROJECTIONS (SEASON LONG),,,,,,TIGHT END PPR PROJECTIONS (SEASON LONG),,,,,
Rank,Quarterback,Projection,FPPG,TOT YPG,TD/G,Rank,Running Back,Projection,FPPG,TOT YPG,TD/G,Rank,Wide Receiver,Projection,FPPG,TOT YPG,TD/G,Rank,Tight End,Projection,FPPG,YPG,TOT YPG
27,CAM WARD,218,13.6,214.8,1.4,27,JACORY CROSKEY-MERRITT,169.7,10.6,58.5,0.5,27,MARVIN HARRISON JR,198,11.7,56.3,0.4,27,MASON TAYLOR,115,6.8,26.3,0.2
28,AARON RODGERS,215,13.5,217.5,1.4,28,JEREMIYAH LOVE,166.8,10.4,59.3,0.5,28,DK METCALF,198,11.7,56.3,0.4,28,EVAN ENGRAM,105,6.2,24.8,0.2
29,MICHAEL PENIX JR,205,12.8,214.7,1.5,29,AARON JONES SR,164.7,10.3,56.6,0.4,29,COURTLAND SUTTON,198,11.7,54.0,0.4,29,GREG DULCICH,103,6.0,26.6,0.2
30,GENO SMITH,194,12.1,201.5,1.2,30,RHAMONDRE STEVENSON,157.5,9.8,53.9,0.5,30,LADD MCCONKEY,197,11.6,52.9,0.4,30,DAVID NJOKU,101,5.9,22.5,0.2
31,FERNANDO MENDOZA,164,10.2,0.0,0.7,31,BHAYSHUL TUTEN,156.3,9.8,55.8,0.5,31,LUTHER BURDEN III,192,11.3,52.9,0.4,31,GUNNAR HELM,89,5.2,20.5,0.1
32,SHEDEUR SANDERS,127,7.9,95.8,0.7,32,RJ HARVEY,154.0,9.6,49.4,0.4,32,MIKE EVANS,186,10.9,47.0,0.4,32,DAWSON KNOX,85,5.0,19.4,0.2
33,MAC JONES,116,7.2,0.0,0.0,33,RACHAAD WHITE,148.2,9.3,46.3,0.4,33,MICHAEL PITTMAN JR,183,10.8,46.7,0.3,33,KENYON SADIQ,82,4.8,20.5,0.1
34,KIRK COUSINS,109,6.8,79.0,0.5,34,DAVID MONTGOMERY,148.1,9.3,52.5,0.5,34,CHRIS GODWIN,179,10.6,46.2,0.3,34,COLE KMET,79,4.6,20.3,0.1
35,TANNER MCKEE,96,6.0,0.0,0.0,35,KENNETH GAINWELL,147.1,9.2,46.4,0.4,35,JAMESON WILLIAMS,177,10.4,52.8,0.3,35,THEO JOHNSON,74,4.4,19.1,0.1
36,DREW LOCK,96,6.0,0.0,0.0,36,RICO DOWDLE,143.3,9.0,49.9,0.4,36,JAKOBI MEYERS,176,10.4,45.2,0.3,36,COLBY PARKINSON,73,4.3,18.0,0.1
