RK,Player,TM,BYE,PASS ATT,COMP,PASS YARDS,PASS TD,INT,RUSH ATT,RUSH YARDS,RUSH TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH ATT,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,AUC Calc
,,,,,,,,,,,,,,,88,Devin Singletary,NYG,8,25,98,1,3,3,17,0,17.5,$0,,88,Darius Slayton,NYG,8,0,0,41,26,371,2,60.3,$0,,88,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,89,Jacob Saylors,DET,6,19,78,1,3,2,11,0,15.7,$0,,89,Kayshon Boutte,NE,11,0,0,37,26,363,2,60.1,$0,,89,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,90,Jawhar Jordan,HOU,8,18,75,0,6,4,25,0,15.3,$0,,90,Malachi Fields,NYG,8,0,0,43,26,338,2,60.1,$0,,90,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,91,Tyler Goodson,ATL,11,23,85,1,3,2,12,0,15.3,$0,,91,Dont'e Thornton,LV,13,0,0,47,27,365,2,59.3,$0,,91,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,92,Trevor Etienne,CAR,5,16,74,0,5,4,26,0,14.4,$0,,92,Ja'Kobi Lane,BAL,13,0,0,40,23,333,2,58.9,$0,,92,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,93,Tahj Brooks,CIN,6,19,79,1,3,2,13,0,14.2,$0,,93,Isaiah Bond,CLE,11,76,0,36,22,274,1,56.4,$0,,93,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,94,Jam Miller,NE,11,19,74,1,3,2,16,0,13.9,$0,,94,Tre' Harris,LAC,7,0,0,44,27,319,2,54.5,$0,,94,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,95,James Conner,ARI,14,9,33,0,9,7,43,0,13.8,$0,,95,Kendrick Bourne,ARI,14,0,0,45,28,300,2,54.0,$0,,95,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,96,Will Shipley,PHI,10,13,54,0,7,5,36,0,13.6,$0,,96,Chris Bell,MIA,6,0,0,41,24,320,2,53.0,$0,,96,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,97,Roschon Johnson,CHI,10,16,65,1,3,2,11,0,12.1,$0,,97,Dontayvion Wicks,PHI,10,0,0,41,24,288,2,52.1,$0,,97,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,98,AJ Dillon,CAR,5,17,72,0,3,2,12,0,12.1,$0,,98,Pat Bryant,DEN,10,0,0,44,25,297,2,51.4,$0,,98,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,99,George Holani,SEA,11,12,45,0,5,4,28,0,12.1,$0,,99,Devaughn Vele,NO,8,0,0,38,25,293,2,51.3,$0,,99,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,100,Brashard Smith,KC,5,9,34,0,6,4,31,0,11.3,$0,,100,Savion Williams,GB,11,53,0,38,23,211,2,50.3,$0,,100,,,,,,,,,$0,$0
,,,,,,,,,,,,,,,101,Kaleb Johnson,PIT,9,15,55,0,3,2,13,0,9.9,$0,,101,Dyami Brown,WSH,7,0,0,43,22,281,2,50.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,102,Phil Mafah,DAL,14,11,45,0,3,2,13,0,9.1,$0,,102,Keon Coleman,BUF,7,0,0,37,20,281,2,49.8,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,103,Jaleel McLaughlin,DEN,10,4,22,0,6,4,31,0,8.9,$0,,103,Ted Hurst,TB,10,0,0,34,21,262,2,47.6,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,104,Patrick Taylor,SF,8,9,34,0,4,3,19,0,8.7,$0,,104,Jahan Dotson,ATL,11,0,0,37,23,268,1,46.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,105,Jarquez Hunter,LAR,11,9,38,0,3,2,13,0,8.4,$0,,105,Travis Hunter,JAX,7,0,0,36,22,249,2,45.8,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,106,Devin Neal,NO,8,10,38,0,3,2,13,0,7.7,$0,,106,Xavier Legette,CAR,5,0,0,33,22,225,2,44.1,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,107,Dylan Laube,LV,13,6,22,0,5,4,24,0,7.7,$0,,107,Mack Hollins,NE,11,7,0,29,21,241,1,44.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,108,Pierre Strong,GB,11,6,24,0,5,0,0,0,3.3,$0,,108,De'Zhaun Stribling,SF,8,21,0,34,18,236,1,43.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,109,,,,,,,,,,,,$0,,109,Elic Ayomanor,TEN,9,0,0,30,18,240,2,42.3,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,110,,,,,,,,,,,,$0,,110,Kalif Raymond,CHI,10,15,0,36,20,225,1,41.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,111,,,,,,,,,,,,$0,,111,Devontez Walker,BAL,13,0,0,23,15,230,2,40.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,112,,,,,,,,,,,,$0,,112,DeMario Douglas,NE,11,0,0,25,18,232,1,40.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,113,,,,,,,,,,,,$0,,113,Tory Horton,SEA,11,0,0,31,17,213,2,39.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,114,,,,,,,,,,,,$0,,114,Konata Mumpfield,LAR,11,0,0,29,20,214,1,39.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,115,,,,,,,,,,,,$0,,115,Treylon Burks,WSH,7,0,0,29,18,230,1,39.5,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,116,,,,,,,,,,,,$0,,116,Christian Kirk,SF,8,0,0,29,19,219,1,39.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,117,,,,,,,,,,,,$0,,117,Joshua Palmer,BUF,7,0,0,24,16,229,1,37.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,118,,,,,,,,,,,,$0,,118,Jaylin Lane,WSH,7,30,0,26,13,175,1,33.9,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,119,,,,,,,,,,,,$0,,119,Marvin Mims,DEN,10,41,0,22,15,155,1,33.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,120,,,,,,,,,,,,$0,,120,Jalen Royals,KC,5,0,0,26,17,174,1,33.1,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,121,,,,,,,,,,,,$0,,121,Tutu Atwell,MIA,6,0,0,23,16,202,1,32.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,122,,,,,,,,,,,,$0,,122,Skyler Bell,BUF,7,0,0,20,13,161,1,28.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,123,,,,,,,,,,,,$0,,123,Hollywood Brown,PHI,10,0,0,24,13,149,1,27.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,124,,,,,,,,,,,,$0,,124,Brenen Thompson,LAC,7,0,0,19,12,153,1,26.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,125,,,,,,,,,,,,$0,,125,Greg Dortch,DET,6,18,0,16,11,106,1,22.3,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,126,,,,,,,,,,,,$0,,126,Kevin Coleman,MIA,6,0,0,18,11,127,1,21.2,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,127,,,,,,,,,,,,$0,,127,Deion Burks,IND,13,0,0,18,10,116,1,20.5,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,128,,,,,,,,,,,,$0,,128,Jordan Whittington,LAR,11,0,0,15,11,111,1,20.5,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,129,,,,,,,,,,,,$0,,129,Chimere Dike,TEN,9,18,0,14,9,86,1,20.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,130,,,,,,,,,,,,$0,,130,Xavier Hutchinson,HOU,8,0,0,14,9,110,1,19.5,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,131,,,,,,,,,,,,$0,,131,Bryce Lance,NO,8,0,0,15,9,107,1,18.5,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,132,,,,,,,,,,,,$0,,132,Mitchell Tinsley,CIN,6,0,0,13,8,95,1,18.1,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,133,,,,,,,,,,,,$0,,133,Tim Patrick,NYJ,13,0,0,14,9,99,1,18.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,134,,,,,,,,,,,,$0,,134,Luke McCaffrey,WSH,7,0,0,12,8,94,1,17.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,135,,,,,,,,,,,,$0,,135,Xavier Smith,LAR,11,0,0,11,7,102,0,16.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,136,,,,,,,,,,,,$0,,136,Ashton Dulin,IND,13,19,0,10,7,78,0,15.9,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,137,,,,,,,,,,,,$0,,137,Ben Skowronek,PIT,9,0,0,12,8,81,0,14.5,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,138,,,,,,,,,,,,$0,,138,Elijah Moore,PHI,10,0,0,12,7,75,1,14.1,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,139,,,,,,,,,,,,$0,,139,Zavion Thomas,CHI,10,0,0,11,7,66,1,13.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,140,,,,,,,,,,,,$0,,140,Dermarcus Robinson,SF,8,0,0,11,6,79,0,13.1,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,141,,,,,,,,,,,,$0,,141,KeAndre Lambert-Smith,LAC,7,0,0,11,6,70,0,12.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,142,,,,,,,,,,,,$0,,142,Calvin Austin,NYG,8,0,0,10,6,69,0,12.1,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,143,,,,,,,,,,,,$0,,143,Tez Johnson,TB,10,0,0,8,5,58,1,11.6,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,144,,,,,,,,,,,,$0,,144,Charlie Jones,CIN,6,0,0,9,6,59,0,11.1,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,145,,,,,,,,,,,,$0,,145,K.J. Osborn,TEN,9,0,0,8,5,56,0,10.3,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,146,,,,,,,,,,,,$0,,146,Cyrus Allen,KC,5,0,0,9,5,55,0,9.9,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,147,,,,,,,,,,,,$0,,147,Tai Felton,MIN,6,0,0,8,5,53,0,9.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,148,,,,,,,,,,,,$0,,148,Mecole Hardman,BUF,7,0,0,8,4,54,0,9.2,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,149,,,,,,,,,,,,$0,,149,Jimmy Horn,CAR,5,55,0,3,2,17,0,9.1,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,150,,,,,,,,,,,,$0,,150,Jonathan Mingo,DAL,14,0,0,6,4,45,0,8.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,151,,,,,,,,,,,,$0,,151,Cedric Tillman,CLE,11,0,0,7,4,51,0,8.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,152,,,,,,,,,,,,$0,,152,Beaux Collins,NYG,8,0,0,15,9,0,1,8.3,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,153,,,,,,,,,,,,$0,,153,Darius Cooper,PHI,10,0,0,7,4,43,0,8.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,154,,,,,,,,,,,,$0,,154,Cedrick Wilson,DET,6,0,0,6,4,47,0,8.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,155,,,,,,,,,,,,$0,,155,Bo Melton,GB,11,0,0,5,4,46,0,7.9,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,156,,,,,,,,,,,,$0,,156,Reggie Virgil,ARI,14,0,0,7,4,43,0,7.8,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,157,,,,,,,,,,,,$0,,157,Roman Wilson,PIT,9,0,0,6,4,45,0,7.8,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,158,,,,,,,,,,,,$0,,158,Marquez Valdes-Scantling,DAL,14,0,0,6,4,55,0,7.6,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,159,,,,,,,,,,,,$0,,159,Jahdae Walker,CHI,10,0,0,6,3,39,0,7.3,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,160,,,,,,,,,,,,$0,,160,John Metchie,CAR,5,0,0,5,4,38,0,7.2,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,161,,,,,,,,,,,,$0,,161,Jake Bobo,SEA,11,0,0,5,3,41,0,7.2,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,162,,,,,,,,,,,,$0,,162,Jordan Watkins,SF,8,0,0,5,3,40,0,6.7,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,163,,,,,,,,,,,,$0,,163,CJ Daniels,LAR,11,0,0,4,3,39,0,6.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,164,,,,,,,,,,,,$0,,164,Kameron Johnson,TB,10,0,0,6,3,36,0,6.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,165,,,,,,,,,,,,$0,,165,Justin Watson,HOU,8,0,0,6,4,32,0,6.3,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,166,,,,,,,,,,,,$0,,166,Isaiah Williams,NYJ,13,0,0,6,3,33,0,6.2,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,167,,,,,,,,,,,,$0,,167,Scotty Miller,CHI,10,0,0,6,3,33,0,6.1,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,168,,,,,,,,,,,,$0,,168,Jeshaun Jones,MIN,6,0,0,5,3,31,0,6.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,169,,,,,,,,,,,,$0,,169,Ja'Lynn Polk,NO,8,0,0,5,3,31,0,5.9,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,170,,,,,,,,,,,,$0,,170,CJ Williams,JAX,7,0,0,6,3,27,0,5.6,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,Dareke Young,LV,13,0,0,5,3,31,0,5.5,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,Devin Duvernay,ARI,14,0,0,6,3,29,0,5.5,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,Anthony Gould,IND,13,0,0,5,3,30,0,5.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,Tylan Wallace,CLE,11,0,0,5,3,28,0,5.1,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,Kyle Williams,NE,11,0,0,3,2,27,0,4.4,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,Casey Washington,ATL,11,0,0,3,2,22,0,3.8,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,Josh Cameron,JAX,7,0,0,3,2,19,0,3.5,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,Jeff Caldwell,KC,5,0,0,3,2,18,0,3.3,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,Derius Davis,LAC,7,0,0,3,2,17,0,3.2,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,Malik Benson,LV,13,0,0,3,2,19,0,3.2,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,Xavier Weaver,ARI,14,0,0,3,2,16,0,3.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,Arian Smith,NYJ,13,0,0,3,2,15,0,2.8,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,Mason Tipton,NO,8,0,0,3,2,14,0,2.8,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,Skyy Moore,GB,11,0,0,5,0,0,0,0.0,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,$0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,$0,,,,,,,,,,,,
