RK,Player,TM,BYE,PASS ATT,COMP,PASS YARDS,PASS TD,INT,RUSH ATT,RUSH YARDS,RUSH TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH ATT,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,RUSH YARDS,RUSH TD,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,,RK,Player,TM,BYE,TGTS,REC,RECV YARDS,RECV TD,FPS,AUC$,AUC Calc
20,Jordan Love,GB,11,524,341,4037,27,10,45,193,1,275.8,$0,,20,David Montgomery,HOU,8,256,1098,9,35,27,193,1,200.9,$17,,20,Luther Burden,CHI,10,49,0,130,81,1061,6,192.1,$23,,20,Greg Dulcich,MIA,6,80,54,625,3,110.7,$8,$8
21,Tyler Shough,NO,8,503,333,3631,22,10,76,312,4,268.6,$0,,21,TreVeyon Henderson,NE,11,176,824,7,57,45,338,2,190.7,$15,,21,Mike Evans,SF,8,0,0,125,74,1045,8,191.7,$23,,21,Pat Freiermuth,PIT,9,80,55,563,4,109.1,$7,$7
22,C.J. Stroud,HOU,8,579,371,4148,24,12,53,225,1,268.5,$0,,22,Rhamondre Stevenson,NE,11,160,717,7,53,44,389,2,189.1,$15,,22,Davante Adams,LAR,11,0,0,127,69,908,11,189.8,$23,,22,Brenton Strange,JAX,7,78,51,558,4,103.4,$6,$6
23,Daniel Jones,IND,13,480,319,3479,21,11,72,285,5,262.2,$0,,23,Quinshon Judkins,CLE,11,277,1136,8,29,20,140,1,189.0,$15,,23,Garrett Wilson,NYJ,13,0,0,147,95,1089,5,189.1,$23,,23,Juwan Johnson,NO,8,76,52,568,3,100.8,$5,$5
24,Sam Darnold,SEA,11,505,336,4135,27,13,35,110,1,261.6,$0,,24,Jadarian Price,SEA,11,240,1011,8,29,21,167,1,183.8,$14,,24,Emeka Egbuka,TB,10,0,0,129,72,1063,8,187.7,$22,,24,Terrance Ferguson,LAR,11,62,42,506,5,99.5,$5,$5
25,Cam Ward,TEN,9,549,348,3775,23,9,50,212,3,261.6,$0,,25,Kenneth Gainwell,TB,10,175,755,6,57,49,355,2,181.8,$14,,25,Carnell Tate,TEN,9,0,0,131,81,1075,6,186.7,$22,,25,Oronde Gadsden,LAC,7,65,46,531,4,97.8,$5,$5
26,Bryce Young,CAR,5,522,333,3466,23,12,52,244,2,245.7,$0,,26,Tony Pollard,TEN,9,231,1008,6,43,32,218,1,181.1,$14,,26,DJ Moore,BUF,7,26,0,118,77,994,7,185.9,$22,,26,Cade Otton,TB,10,73,49,470,3,87.9,$2,$2
27,Jacoby Brissett,ARI,14,511,328,3422,23,8,44,209,1,238.0,$0,,27,D'Andre Swift,CHI,10,192,860,7,46,34,282,1,180.0,$14,,27,Jameson Williams,DET,6,38,0,105,66,1080,6,184.0,$22,,27,Mike Gesicki,CIN,6,61,42,435,4,87.6,$2,$2
28,Aaron Rodgers,PIT,9,551,353,3667,23,10,20,65,1,229.9,$0,,28,Chuba Hubbard,CAR,5,200,829,5,56,42,269,2,173.7,$12,,28,Christian Watson,GB,11,11,0,109,64,1033,7,180.5,$21,,28,Kenyon Sadiq,NYJ,13,65,47,454,3,86.8,$2,$2
29,Tua Tagovailoa,ATL,11,521,348,3842,21,13,12,32,0,215.2,$0,,29,Bhayshul Tuten,JAX,7,182,752,6,50,36,278,2,171.4,$12,,29,Rome Odunze,CHI,10,0,0,129,66,982,7,174.0,$19,,29,AJ Barner,SEA,11,60,41,416,4,84.5,$2,$2
